org_id	organization_name	address	address2	city	state	zip	phone	website_url	public_email	Latitude	Longitude
1	The Night Ministry	1110 N. Noble Street		Chicago	IL	60622	773-549-4158	http://www.thenightministry.org/001_programs/040_youth_services/030_youth_housing/040_the_crib/		41.901831	-87.662791
2	Center on Halsted	3656 N. Halsted Street		Chicago	IL	60613	773.472.6469	http://www.centeronhalsted.org/	youthintake@centeronhalsted.org	41.957776	-87.655647
3	360 Youth Services	1305 W. Oswego Rd.		Naperville	IL	60540	630.961.2992	http://www.360youthservices.org/	dcarr@360youthservices.org	41.763492	-88.175111
4	Lake View Presbyterian Church	716 West Addison Street		Chicago	IL	60613	773.281.2655	http://www.lakeviewpresbyterian.org/how-we-serve/cafe-pride/	alex@lakeviewpresbyterian.org	41.947432	-87.647848
5	Chicago House	1925 N. Clybourn		Chicago	IL	60614	773.248.5200	http://www.chicagohouse.org/	info@chicagohouse.org	41.921254	-87.663876
6	A Safe Haven Foundation	2750 W Roosevelt		Chicago	IL	60608	773.435.8300	http://www.asafehaven.org		41.848922	-87.669519
7	La Casa Norte			Chicago	IL		773.270.5126	www.lacasanorte.org			
8	Unity Parenting and Counseling	7320 S Yale		Chicago	IL	60621	773.891.1365			41.775305	-87.641642
9	Teen Living Programs	162 W. Hubbard St., Suite 400		Chicago	IL	60654	312-568-5700	www.teenliving.org	info@teenliving.org	41.890105	-87.633531
10	Broadway United Methodist Church	 		Chicago	IL	60657	773.348.2679	www.youthlounge.org	cindy@youthlounge.org		
11	The Law Project of the Chicago Coalition for the Homeless			Chicago	IL		1-800-940-1119	https://sites.google.com/site/lawprojectcch/youth-futures	beth@chicagohomeless.org		
12	Y.E.P.P. (Youth Empowerment Performance Project)			Chicago	IL			www.wesayyepp.com			
13	Community Counseling Services of Chicago	4740 N Clark St		Chicago	IL	60640		www.c4chicago.org 		41.967815	-87.667299
14	Task Force Prevention and Community Services	9 N. Cicero 		Chicago	IL	60644	773-473-4100			41.892953	-87.761562
15	Vida/Sida Generation L	2703 W. Division St. 		Chicago	IL	60622	773-278-6737 			41.902649	-87.694653
16	Chicago Public Schools			Chicago	IL						
17	Blue Sky Inn	3720 N. Lincoln Ave.		Chicago	IL	60613		http://blue-sky-bakery.org/employment.html	info@blueskyinn.org 	41.949177	-87.675673
18	Lakeview Pantry	3831 N Broadway St.		Chicago	IL	60613	773-525-1777 	www.lakeviewpantry.org		41.95219	-87.649615
19	Saint Vincent Depaul Church (Catholic Church)	1010 West Webster Avenue		Chicago	IL	60614	773-325-8610 	www.stvdep.org 		41.922204	-87.653943
20	Department of Human Services						311				
21	Emergency Fund	651 W Washington Blvd # 504		Chicago	IL	60661	312-379-0301 	www.emergencyfund.org		41.883201	-87.63994
22	Direct 2 Food							www.direct2food.org 			
23	Nutrition & Women, Infant and Children Services (WIC)						312-747-9150				
24	SNAP (Food Stamps)						800-843-6154	www.dhs.state.il.us/page.aspx?item=33698			
25	AIDS Foundation of Chicago			Chicago	IL	60606	312-922-2322 	www.aidschicago.org			
26	T-PAN (Test Positive Aware Network)	5537 N. Broadway St.		Chicago	IL	60640	773-989-9400	www.tpan.com 		41.982738	-87.660048
27	Chicago Department of Public Health - Lakeview Specialty Clinic	2861 North Clark Street		Chicago	IL	60657	312-744-5507	www.gettestedchicago.com		41.934563	-87.646308
28	Chicago Department of Public Health - South Austin Public Health Center	4958 W. Madison		Chicago	IL	60644	312-746-4871	www.gettestedchicago.com		41.892953	-87.761562
