org_id	program_id	program_name	friendliness_rating	MinAge	MaxAge	spanish_speaking	Health Status Requirements	Gender Requirement	sexual_orientation_requirement	Access to Services	Description	Program Timing	program_category	services_offered
1	1	The Crib	LGBT Friendly	18	24					Nightly lottery for beds.	The Crib is an overnight space for young people ages 18-24 to get a hot meal, sleep, do yoga, dance, rest, and be safe. The space is welcoming to people of all genders and sexual orientations, and is open seven nights a week. We believe that every person deserves a warm, safe place to rest, and we do our best to build community with the 20 young people who come to stay with us each night. We now also have a new youth leadership program for guests of The Crib called the Crib Leadership Team, and young people from CLT lead activities in the space each night (discussion groups, game nights, poetry groups, etc).	You can reach staff at The Crib daily between 8 p.m. and 10 a.m. at 773-549-4158.	Housing	housing
1	2	Youth Outreach Van	LGBT Friendly								Offers: food, referrals, hygiene and safer sex supplies, winter gear, music, community	Tuesday and Thursday nights 8:30 – 10pm (later hours during the summer)	Drop-In	drop-in, street outreach
2	3	Youth Services	LGBT Focused	13	24					Youth must go through intake appointment. You can call 773.472.6469 EXT 469 or email youthintake@centeronhalsted.org to schedule an appointment from 1pm-6pm.		Youth Programming at Center on Halsted is Monday–Thursday from 4:30–6:30 p.m. On Fridays we have Your Gym: Basketball, Volleyball, Dodgeball from 4:00–6:00 p.m.	Multiple	employment program, arts, education, recreation, hiv/sti testing, counseling
3	4		LGBT Focused										Housing	housing
43	5	Broadway Youth Center	LGBT Focused	12	24					Drop-In	Offers: Drop In Services: Monday, Wednesday, Friday, from 1-4pm; HIV/STD Testing Services: Monday-Friday, 1-8; Medical Services: Monday, 1-8; Tuesday, 2-6, Wednesday-Friday, 1-8; Educational/Vocational Program; Resource Advocacy; LGBT-specific programming and leadership opportunities	Drop In Services: Monday, Wednesday, Friday, from 1-4pm; HIV/STD Testing Services: Monday-Friday, 1-8; Medical Services: Monday, 1-8; Tuesday, 2-6, Wednesday-Friday, 1-8	Drop-In	drop-in, employment program, education, activism, hiv/sti testing, health
4	6	Cafe Pride	LGBT Friendly							Drop-In		Every Friday night from 7:15pm-12:30am.	Drop-In	drop-in, affirming church
5	7		LGBT Friendly										Multiple	case management, legal, employment program, hiv/sti prevention, HIV+ services
6	8												Housing	housing
7	9											Drop-in on Tuesday and Thursdays from 5-7:30 PM for youth, ages 18-24, who are homeless or couch surfing. Employment assistance, Monday through Friday, 2-4 PM; Case management, by appointment  	Multiple	drop-in, case management, employment program
8	10	Ujima Village		18	24					How to get a bed: Youth can get a bed by arriving at the front door of the shelter at 8pm nightly (lottery) or by calling the 311/Catholic Charities Homeless hotline from a hospital emergency room. The youth, when calling the hotline, need to state that they are a youth and that they want to come to Ujima. Catholic Charities will call us to confirm bed availability, and then Catholic Charities will go get the youth from the hospital to transport the youth to Ujima. Catholic Charities will only pick up homeless persons from hospital emergency rooms or police stations.  We unfortunately cannot acceptparenting youth who have their babies/children with them or minor youth.		Nightly 8pm to 8 am	Housing	housing, showers, laundry
9	11			13	24						Teen Living Programs serve youth ages 13 to 24 who became homeless because of serious family issues, including substance abuse, and physical or sexual abuse. Many are ostracized due to their sexual orientation. While escaping these situations and leaving their homes may provide temporary relief, life on the streets carries the serious threat of increased suffering from predators, disease, and greater physical deprivation.We deliver comprehensive, long-term solutions to youth without homes who strive for self-sufficiency and community connection. Teen Living Programs offers housing, job training, educational support, mental health counseling, holistic health care, and life skills training within a community of professional and passionate support.		Multiple	drop-in, employment program, education, health, counseling
10	12	Youth Lounge	LGBT Friendly							Drop-in	Drop-in space includes: A home-cooked dinner, Clothing, Music and voguing, Quiet space for sleeping, Wii and games, Referrals, Community	Drop-in space on the 2nd and 4th Saturdays of each month for young people.	Drop-In	drop-in, affirming church
11	13	Youth Futures		13	25							Teen Living Programs Drop-In Center, 3619 S. State Street, Suite 300 on Tuesdays at 3:30 pm.; The Peace Corner Youth Center, 5022 W. Madison on the first two Wednesdays of the month at 3:30 pm.; Center on Halsted, 3656 N. Halsted on Wednesdays at 1:00 pm.	Legal	legal
12	14		LGBT Focused										Art	arts
13	15												Counseling	counseling
14	16											Office Hours: Monday-Thursday, 9-4 PM; Clinical hours are Wednesday 1-5; and testing is available on Tuesday & Thursdays from 11 AM-3 PM 	Health	case management, hiv/sti testing, health, counseling
15	17										Provide food, computers, and programming for youth. Other programs call for hours.	Drop In Program: Monday and Friday, 9-5; Tuesday-Thursday, 2-10. 	Multiple	drop-in, case management, hiv/sti testing, counseling
16	18	Virtual Learning										Online 24/7.	Education	education
16	19	Getting Back in School (Alternative Learning Opportunities Program (ALOP))		17	21								Education	education
